Fecha,anno,mes,dia,Fecha2,Tpromedio,Tmax,Hpromedio,Hmax,Vpromedio,Vmax,RSGSpromedio,RSGSmax,RSDSpromedio,RSDSmax,RSGHpromedio,RSGHmax,RDNpromedio,RDNmax
130809,2013,8,9,09-08-2013,6.728125,49.6,51.303125,528,2.56953125,16.19,4380.484375,22698,4354.703125,22589,4379.28125,22428,25.6875,1106
130810,2013,8,10,10-08-2013,9.679861111,,44.08819444,,2.696041667,,241.3611111,,27.00694444,,171.875,,214.1944444,0
130811,2013,8,11,11-08-2013,8.779861111,,62.81041667,,2.625902778,,19.04861111,,14.5,,19.54166667,,4.409722222,0
130812,2013,8,12,12-08-2013,7.497916667,,88.53402778,,1.815208333,,93.90277778,,24.65972222,,64.71527778,,69.08333333,0
130813,2013,8,13,13-08-2013,7.915277778,,63.18541667,,2.884375,,280.7013889,,24.04861111,,186.9236111,,256.4513889,0
130814,2013,8,14,14-08-2013,13.75277778,,34.79722222,,3.05625,,292.8263889,,18.95138889,,192.7986111,,273.6736111,0
130815,2013,8,15,15-08-2013,15.15277778,,33.78611111,,3.0025,,289.7986111,,23.50694444,,189.4791667,,266.125,0
130816,2013,8,16,16-08-2013,14.63333333,,39.20555556,,2.514375,,279.2291667,,24.56944444,,188.9861111,,254.4375,0
130817,2013,8,17,17-08-2013,17.69027778,,28.17569444,,3.193541667,,300.8125,,21.84027778,,199.4375,,278.7083333,0
130818,2013,8,18,18-08-2013,14.08888889,,52.21319444,,2.484375,,289.5486111,,30.47222222,,193.5069444,,258.8055556,0
130819,2013,8,19,19-08-2013,9.938888889,,83.04791667,,1.441666667,,176.125,,72.81944444,,147.8541667,,103.0902778,0
130820,2013,8,20,20-08-2013,10.97708333,,66.98194444,,2.800486111,,258.1875,,43.70833333,,182.3958333,,214.4027778,0
130821,2013,8,21,21-08-2013,11.06041667,,64.66458333,,2.305208333,,226.8263889,,52.72916667,,171.4375,,173.9375,0
130822,2013,8,22,22-08-2013,10.25694444,,56.12222222,,2.159305556,,169.0138889,,72.8125,,144.9930556,,96.01388889,0
130823,2013,8,23,23-08-2013,10.28611111,,57.30138889,,2.323402778,,94.13194444,,62.35416667,,93.23611111,,31.6875,0
130824,2013,8,24,24-08-2013,8.572916667,,79.35138889,,1.804027778,,201.6805556,,61.15972222,,167.7569444,,140.3958333,0
130825,2013,8,25,25-08-2013,7.681944444,,84.97916667,,2.111597222,,108.2777778,,66.99305556,,98.39583333,,41.1875,0
130826,2013,8,26,26-08-2013,10.13125,,62.01319444,,2.395347222,,299.3958333,,37,,205.3680556,,262.2638889,0
130827,2013,8,27,27-08-2013,13.51458333,,43.87708333,,2.953958333,,310.7986111,,36.35416667,,605,,274.25,0
130828,2013,8,28,28-08-2013,18.86944444,,32.78263889,,2.527152778,,327.0138889,,23.02777778,,217.3541667,,303.9097222,0
130829,2013,8,29,29-08-2013,12.21180556,,76.53888889,,1.945694444,,280.2847222,,59.81944444,,196.6111111,,220.4097222,0
130830,2013,8,30,30-08-2013,8.25625,,98.66597222,,1.200069444,,34.08333333,,26.28472222,,34.27777778,,7.541666667,0
